Date,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
2020-05-07,312,396,271,199,508,419,180,369,458
2020-05-08,269,229,206,158,484,354,178,341,352
2020-05-09,176,203,127,151,344,248,106,163,245
2020-05-10,197,208,124,150,348,309,134,217,296
2020-05-11,308,390,159,229,529,481,255,250,426
2020-05-12,320,315,194,220,548,412,177,309,375
2020-05-13,298,329,204,143,523,484,176,244,404
2020-05-14,226,217,157,139,425,294,93,258,355
2020-05-15,251,210,131,137,392,262,103,263,336
2020-05-16,256,174,73,126,406,191,90,175,258
2020-05-17,203,153,79,98,304,224,97,172,244
2020-05-18,272,283,112,147,408,363,118,207,261
2020-05-19,293,254,132,123,579,385,108,278,386
2020-05-20,274,243,144,131,498,343,137,252,296
2020-05-21,281,246,158,130,426,303,88,226,383
2020-05-22,240,190,85,95,375,246,82,195,268
2020-05-23,164,149,65,75,288,121,41,148,235
2020-05-24,145,102,50,77,262,150,59,134,204
2020-05-25,192,147,58,60,268,188,61,138,253
2020-05-26,160,150,66,100,309,180,81,151,232
2020-05-27,197,149,84,115,294,203,104,194,254
2020-05-28,191,163,74,49,325,202,115,155,274
2020-05-29,170,160,57,70,303,163,73,155,200
2020-05-30,139,83,39,47,216,131,51,116,164
2020-05-31,149,61,38,46,234,134,62,77,176
2020-06-01,217,137,49,69,261,185,51,125,191
2020-06-02,219,131,49,59,285,221,51,126,197
2020-06-03,171,123,79,51,257,137,69,125,206
2020-06-04,143,93,57,60,238,158,65,136,178
2020-06-05,154,109,47,42,204,139,51,103,155
2020-06-06,105,93,46,28,132,85,23,77,121
2020-06-07,128,46,45,17,130,61,18,64,149
2020-06-08,173,95,56,33,165,123,23,120,188
2020-06-09,177,130,71,40,218,113,26,101,172
2020-06-10,166,118,53,37,224,127,31,92,226
2020-06-11,182,71,47,23,177,94,25,92,197
2020-06-12,174,66,54,40,169,86,19,76,247
2020-06-13,133,89,39,31,128,66,14,86,193
2020-06-14,145,73,31,31,148,72,9,75,159
2020-06-15,165,112,41,32,164,98,20,102,189
2020-06-16,161,107,47,18,211,96,15,104,216
2020-06-17,164,77,43,19,183,82,16,80,230
2020-06-18,169,82,46,23,178,75,13,83,257
2020-06-19,153,74,37,14,167,80,24,52,203
2020-06-20,145,31,28,17,118,65,8,48,162
2020-06-21,131,57,27,5,99,67,8,37,116
2020-06-22,177,74,51,24,159,78,19,67,156
2020-06-23,169,44,49,26,127,60,15,53,172
2020-06-24,173,61,46,11,159,44,16,54,157
2020-06-25,125,38,57,12,125,64,8,56,143
2020-06-26,114,59,48,8,106,65,12,69,152
2020-06-27,87,20,32,14,93,54,8,44,149
2020-06-28,78,25,22,9,95,45,11,26,97
2020-06-29,129,49,58,11,123,79,16,56,133
2020-06-30,129,34,52,11,103,58,18,51,112
2020-07-01,120,39,42,7,114,70,23,50,132
2020-07-02,105,62,40,9,98,61,11,55,104
2020-07-03,108,60,38,8,97,62,8,41,107
2020-07-04,86,43,32,9,72,29,10,23,77
2020-07-05,127,36,51,4,115,58,17,36,90
2020-07-06,139,56,53,11,142,45,23,52,120
2020-07-07,108,39,60,12,94,55,17,61,103
2020-07-08,110,77,57,12,114,82,15,65,126
2020-07-09,95,55,54,17,129,84,17,122,98
2020-07-10,99,50,40,10,87,76,13,43,92
2020-07-11,94,42,19,7,77,34,6,40,86
2020-07-12,46,34,37,3,54,31,5,38,98
2020-07-13,105,64,85,8,104,69,18,79,135
2020-07-14,89,81,62,12,109,59,19,71,133
2020-07-15,113,55,76,16,146,63,17,107,119
2020-07-16,92,62,70,15,149,63,27,65,86
2020-07-17,80,51,48,10,110,49,20,68,100
2020-07-18,63,28,48,4,106,54,12,51,98
2020-07-19,48,22,41,7,93,46,9,40,101
2020-07-20,82,81,97,11,164,87,23,83,115
2020-07-21,68,66,82,14,156,77,35,80,100
2020-07-22,88,54,80,16,208,77,30,77,103
2020-07-23,94,51,71,8,183,76,39,90,106
2020-07-24,82,79,83,7,159,65,34,78,108
2020-07-25,44,28,54,5,137,47,17,67,88
2020-07-26,38,26,65,6,158,37,20,66,91
2020-07-27,92,65,100,9,189,85,40,77,143
2020-07-28,76,56,98,5,200,65,34,88,149
2020-07-29,108,66,98,21,288,79,53,90,163
2020-07-30,109,52,101,15,222,63,63,80,141
2020-07-31,75,31,73,12,179,41,29,81,98
2020-08-01,69,22,58,9,158,30,9,54,81
2020-08-02,54,36,76,16,168,21,9,42,85
2020-08-03,108,68,86,19,300,76,43,89,144
2020-08-04,88,56,104,20,279,66,54,98,146
2020-08-05,115,53,114,30,262,65,40,93,157
2020-08-06,113,44,105,24,278,61,45,114,176
2020-08-07,91,70,122,15,239,54,42,106,120
2020-08-08,74,44,55,12,215,31,25,74,104
2020-08-09,72,23,67,15,159,29,15,77,97
2020-08-10,210,67,142,21,358,113,42,157,222
2020-08-11,176,47,149,45,310,76,41,165,184
2020-08-12,119,66,157,39,275,83,42,133,171
2020-08-13,109,61,124,53,236,76,53,117,179
2020-08-14,87,68,127,31,240,95,55,171,161
2020-08-15,55,31,105,18,156,46,25,96,108
2020-08-16,58,27,87,11,116,36,37,73,79
2020-08-17,138,63,189,32,282,109,48,138,126
2020-08-18,77,59,182,36,192,78,58,109,122
2020-08-19,101,63,151,46,254,115,69,118,140
2020-08-20,100,82,203,44,224,130,85,162,165
2020-08-21,101,63,166,42,209,110,64,106,129
2020-08-22,49,50,117,33,173,78,39,76,89
2020-08-23,52,52,143,23,117,85,41,82,92
2020-08-24,83,102,197,39,230,93,49,130,131
2020-08-25,73,101,169,49,213,89,50,142,135
2020-08-26,91,93,164,69,284,115,62,126,119
2020-08-27,84,122,229,66,287,127,57,143,198
2020-08-28,96,101,221,66,358,115,72,156,159
2020-08-29,49,79,137,78,245,101,50,113,168
2020-08-30,61,88,128,59,256,100,33,94,139
2020-08-31,87,101,214,91,261,117,57,127,192
2020-09-01,152,122,308,117,445,130,99,256,264
2020-09-02,250,170,333,132,659,209,123,336,368
2020-09-03,239,149,348,201,622,226,150,366,332
2020-09-04,182,122,355,173,631,232,134,422,307
2020-09-05,171,95,272,231,530,160,82,314,307
2020-09-06,139,80,204,173,570,180,78,318,297
2020-09-07,350,158,450,202,949,204,105,486,523
2020-09-08,313,166,331,224,857,192,81,426,374
2020-09-09,262,125,335,236,830,170,75,388,392
2020-09-10,213,165,393,237,902,211,92,385,455
2020-09-11,222,128,322,195,870,166,98,349,386
2020-09-12,144,83,230,152,754,140,63,292,312
2020-09-13,123,60,115,145,607,68,58,214,291
2020-09-14,200,136,296,196,1043,153,80,320,382
2020-09-15,206,144,267,262,1061,141,89,362,415
2020-09-16,245,142,299,319,1427,143,75,448,549
2020-09-17,243,146,318,369,1383,168,114,506,571
2020-09-18,260,212,379,458,1391,192,117,581,550
2020-09-19,251,143,351,423,1447,182,130,583,550
2020-09-20,250,169,400,563,1350,176,140,556,597
2020-09-21,276,155,395,581,1325,213,142,628,583
2020-09-22,202,176,435,482,1568,235,139,529,587
2020-09-23,138,120,341,448,941,127,83,301,318
2020-09-24,2,2,4,12,6,8,2,6,21
