Date,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
2020-05-03,9813,14719,28732,10509,26313,22756,8694,16810,15184
2020-05-04,10048,15111,28977,10742,26740,23245,8860,17045,15534
2020-05-05,10332,15443,29198,10993,27317,23718,9034,17363,15974
2020-05-06,10666,15831,29467,11236,27901,24162,9235,17677,16387
2020-05-07,10978,16227,29738,11435,28409,24580,9415,18045,16845
2020-05-08,11246,16456,29945,11594,28892,24934,9593,18386,17197
2020-05-09,11422,16659,30072,11744,29236,25182,9699,18549,17442
2020-05-10,11620,16867,30196,11894,29583,25492,9833,18766,17738
2020-05-11,11928,17257,30355,12122,30112,25973,10088,19016,18164
2020-05-12,12248,17572,30550,12342,30660,26385,10265,19325,18539
2020-05-13,12546,17901,30754,12486,31185,26869,10441,19569,18943
2020-05-14,12772,18118,30911,12624,31611,27163,10534,19827,19298
2020-05-15,13023,18329,31042,12761,32003,27425,10637,20090,19634
2020-05-16,13280,18504,31116,12887,32410,27618,10728,20265,19893
2020-05-17,13482,18657,31195,12985,32713,27841,10825,20437,20137
2020-05-18,13754,18940,31308,13132,33122,28203,10943,20644,20398
2020-05-19,14047,19194,31440,13255,33701,28588,11051,20922,20784
2020-05-20,14321,19437,31584,13386,34200,28931,11188,21174,21080
2020-05-21,14602,19683,31742,13516,34626,29234,11276,21400,21463
2020-05-22,14842,19873,31827,13611,35001,29480,11358,21595,21731
2020-05-23,15006,20022,31892,13686,35289,29601,11399,21743,21965
2020-05-24,15151,20124,31943,13763,35551,29751,11458,21877,22169
2020-05-25,15343,20271,32001,13823,35819,29939,11519,22015,22422
2020-05-26,15503,20421,32067,13923,36129,30119,11600,22166,22654
2020-05-27,15700,20570,32151,14038,36423,30321,11704,22360,22908
2020-05-28,15891,20733,32225,14087,36748,30523,11819,22514,23182
2020-05-29,16061,20893,32282,14157,37051,30686,11892,22670,23382
2020-05-30,16200,20976,32321,14204,37266,30817,11943,22786,23545
2020-05-31,16349,21037,32359,14250,37500,30951,12005,22863,23721
2020-06-01,16566,21175,32408,14320,37761,31136,12056,22988,23912
2020-06-02,16785,21306,32457,14379,38046,31357,12107,23114,24109
2020-06-03,16956,21429,32536,14430,38302,31494,12176,23239,24315
2020-06-04,17099,21522,32593,14490,38540,31653,12241,23375,24493
2020-06-05,17252,21631,32640,14532,38744,31793,12292,23478,24648
2020-06-06,17357,21724,32686,14560,38876,31878,12315,23555,24769
2020-06-07,17485,21770,32731,14577,39005,31939,12333,23619,24918
2020-06-08,17658,21865,32787,14611,39170,32062,12356,23739,25106
2020-06-09,17835,21995,32858,14651,39388,32175,12382,23840,25277
2020-06-10,18001,22113,32911,14688,39612,32302,12413,23932,25503
2020-06-11,18183,22184,32958,14711,39789,32395,12438,24024,25700
2020-06-12,18357,22250,33012,14751,39957,32481,12457,24100,25947
2020-06-13,18490,22340,33051,14782,40085,32547,12471,24186,26140
2020-06-14,18635,22413,33082,14813,40233,32619,12480,24261,26299
2020-06-15,18800,22525,33123,14845,40397,32718,12500,24363,26488
2020-06-16,18961,22632,33170,14863,40608,32815,12515,24468,26704
2020-06-17,19125,22709,33213,14882,40791,32896,12531,24548,26934
2020-06-18,19294,22791,33259,14905,40969,32971,12544,24631,27191
2020-06-19,19447,22865,33296,14919,41137,33051,12568,24683,27394
2020-06-20,19592,22896,33324,14936,41255,33117,12576,24731,27556
2020-06-21,19723,22953,33351,14940,41355,33184,12584,24768,27672
2020-06-22,19900,23027,33402,14964,41514,33262,12603,24836,27828
2020-06-23,20069,23071,33451,14990,41641,33322,12618,24889,28000
2020-06-24,20242,23130,33497,15001,41800,33366,12634,24943,28157
2020-06-25,20367,23169,33554,15013,41925,33431,12642,24999,28300
2020-06-26,20481,23228,33602,15021,42030,33496,12654,25068,28452
2020-06-27,20568,23248,33634,15035,42123,33550,12662,25112,28601
2020-06-28,20646,23273,33656,15044,42218,33595,12673,25138,28698
2020-06-29,20775,23321,33714,15055,42341,33674,12689,25194,28831
2020-06-30,20904,23355,33766,15066,42444,33731,12707,25245,28943
2020-07-01,21024,23394,33808,15073,42560,33801,12730,25295,29075
2020-07-02,21129,23456,33846,15082,42657,33862,12741,25350,29179
2020-07-03,21237,23516,33884,15090,42755,33924,12749,25391,29286
2020-07-04,21323,23559,33916,15099,42826,33953,12759,25414,29364
2020-07-05,21450,23595,33967,15103,42941,34011,12776,25450,29454
2020-07-06,21589,23651,34020,15114,43083,34056,12798,25502,29574
2020-07-07,21697,23689,34079,15126,43177,34110,12815,25563,29677
2020-07-08,21807,23766,34136,15138,43291,34192,12830,25628,29803
2020-07-09,21902,23821,34190,15155,43420,34275,12847,25752,29901
2020-07-10,22001,23871,34230,15165,43507,34351,12860,25795,29993
2020-07-11,22095,23913,34249,15172,43584,34385,12866,25835,30080
2020-07-12,22141,23947,34287,15175,43638,34416,12871,25873,30178
2020-07-13,22246,24011,34372,15183,43742,34485,12889,25951,30313
2020-07-14,22335,24092,34434,15195,43851,34544,12908,26022,30446
2020-07-15,22448,24147,34510,15211,43997,34607,12925,26129,30565
2020-07-16,22540,24209,34580,15226,44146,34670,12952,26194,30651
2020-07-17,22620,24260,34628,15236,44255,34719,12972,26261,30751
2020-07-18,22683,24288,34676,15240,44361,34773,12984,26312,30849
2020-07-19,22731,24310,34717,15247,44454,34819,12993,26352,30950
2020-07-20,22813,24391,34814,15258,44618,34906,13017,26435,31065
2020-07-21,22881,24457,34896,15272,44774,34983,13052,26515,31163
2020-07-22,22969,24511,34976,15288,44982,35060,13082,26593,31266
2020-07-23,23063,24562,35046,15296,45165,35136,13121,26682,31372
2020-07-24,23144,24641,35128,15303,45325,35201,13155,26760,31480
2020-07-25,23188,24669,35182,15308,45462,35248,13172,26827,31568
2020-07-26,23226,24697,35247,15315,45619,35285,13192,26893,31659
2020-07-27,23318,24762,35347,15324,45808,35370,13232,26970,31802
2020-07-28,23394,24818,35445,15329,46008,35435,13266,27058,31951
2020-07-29,23502,24884,35543,15350,46296,35514,13319,27148,32114
2020-07-30,23611,24936,35644,15365,46517,35577,13382,27228,32255
2020-07-31,23686,24967,35717,15377,46694,35618,13411,27309,32353
2020-08-01,23755,24989,35775,15386,46852,35648,13420,27363,32434
2020-08-02,23809,25025,35850,15402,47020,35669,13429,27405,32519
2020-08-03,23917,25093,35936,15421,47320,35745,13472,27494,32663
2020-08-04,24005,25149,36040,15441,47598,35811,13526,27592,32809
2020-08-05,24120,25202,36155,15472,47861,35876,13566,27685,32965
2020-08-06,24233,25246,36261,15496,48139,35937,13611,27799,33141
2020-08-07,24324,25316,36380,15510,48376,35990,13653,27904,33261
2020-08-08,24398,25360,36435,15522,48592,36021,13678,27978,33365
2020-08-09,24470,25383,36502,15537,48750,36050,13693,28055,33462
2020-08-10,24680,25450,36644,15558,49109,36163,13735,28212,33683
2020-08-11,24856,25497,36793,15603,49419,36239,13776,28377,33868
2020-08-12,24975,25563,36950,15642,49695,36322,13818,28510,34039
2020-08-13,25084,25624,37074,15695,49931,36398,13871,28627,34218
2020-08-14,25171,25691,37201,15726,50171,36493,13926,28798,34379
2020-08-15,25226,25721,37306,15744,50327,36538,13951,28894,34488
2020-08-16,25284,25748,37393,15755,50443,36574,13988,28966,34567
2020-08-17,25422,25811,37583,15786,50725,36683,14036,29104,34693
2020-08-18,25499,25870,37764,15822,50915,36761,14094,29213,34815
2020-08-19,25600,25933,37916,15868,51169,36876,14164,29331,34954
2020-08-20,25700,26014,38118,15911,51394,37006,14249,29493,35119
2020-08-21,25799,26077,38284,15953,51603,37116,14313,29598,35247
2020-08-22,25849,26125,38401,15986,51776,37194,14352,29674,35336
2020-08-23,25901,26177,38545,16009,51892,37279,14393,29756,35427
2020-08-24,25985,26279,38741,16047,52122,37372,14442,29886,35558
2020-08-25,26057,26378,38909,16095,52334,37461,14492,30028,35692
2020-08-26,26148,26469,39074,16163,52616,37575,14554,30151,35810
2020-08-27,26232,26590,39303,16229,52901,37701,14610,30293,36004
2020-08-28,26328,26691,39523,16295,53258,37816,14682,30449,36164
2020-08-29,26377,26770,39661,16372,53502,37916,14732,30562,36333
2020-08-30,26438,26858,39789,16432,53759,38016,14765,30656,36472
2020-08-31,26525,26959,40003,16523,54020,38133,14822,30783,36662
2020-09-01,26677,27081,40311,16640,54466,38261,14921,31039,36924
2020-09-02,26926,27250,40643,16772,55125,38469,15044,31375,37293
2020-09-03,27165,27398,40989,16967,55743,38694,15194,31741,37625
2020-09-04,27347,27514,41338,17137,56355,38923,15328,32159,37931
2020-09-05,27512,27600,41605,17361,56876,39081,15410,32463,38230
2020-09-06,27648,27674,41808,17533,57440,39260,15488,32781,38526
2020-09-07,27987,27829,42252,17731,58361,39458,15588,33257,39037
2020-09-08,28262,27976,42543,17937,59160,39621,15649,33623,39368
2020-09-09,28447,28083,42813,18132,59841,39757,15716,33912,39675
2020-09-10,28562,28180,43031,18319,60492,39884,15772,34167,39976
2020-09-11,28592,28241,43183,18392,60542,39935,15809,34200,40000
2020-09-12,28592,28243,43189,18395,60543,39935,15810,34207,40003
